"Temp_c_avg","Precip_mm_Total","solarRad_avg","RH2M_avg","Location","Year","Latitude","Longitude","Elevation_m"
16.2571895424837,436.34,18.2727450980392,79.2632026143791,"Ottawa, Ontario",1996,45.4208777,-75.6901106,71.11
16.9204575163399,358.95,18.687908496732,71.1543137254902,"Elora, Ontario",1996,43.681148,-80.429581,377.87
16.3616339869281,488.58,18.2727450980392,80.9558823529412,"Winchester, Ontario",1996,45.0928774,-75.35299,79.89
16.7281045751634,398.38,18.3334640522876,73.1532679738562,"Brussels, Ontario",1996,43.7433558,-81.2506263,340.87
17.7317647058824,410.23,18.687908496732,70.4272549019608,"Woodstock, Ontario",1996,43.1301111,-80.7562977,303.89
16.7281045751634,398.38,18.3334640522876,73.1532679738562,"St. Pauls, Ontario",1996,43.3208052,-81.0516163,351.85
16.6486274509804,462.71,19.2786274509804,78.8694117647059,"Dutton, Ontario",1996,42.6640129,-81.5026543,218.84
17.4151633986928,395.6,19.2786274509804,73.6166013071895,"Inwood, Ontario",1996,42.8180452,-81.9824943,208.86
17.6498692810458,382.7,19.2786274509804,71.3798039215686,"Talbotville, Ontario",1996,42.8031625,-81.2531447,234.85
18.0442483660131,383.51,18.2986274509804,74.6934640522876,"Malden, Ontario",1996,42.2624517,-83.0635175,178.85
17.1967320261438,317.46,18.8014379084967,78.0419607843137,"Woodslee, Ontario",1996,42.21478,-82.7206993,183.19
18.1315032679739,316.27,18.8014379084967,73.5782352941176,"Tilbury, Ontario",1996,42.2593155,-82.4322682,179.85
18.0139869281046,287.43,18.8014379084967,72.632614379085,"Chatham, Ontario",1996,42.4057219,-82.1853837,180.83
15.8247058823529,372.05,18.677908496732,76.7307843137255,"Ottawa, Ontario",1997,45.4208777,-75.6901106,71.11
16.1419607843137,301.32,18.6105882352941,72.4400653594771,"Brussels, Ontario",1997,43.7433558,-81.2506263,340.87
15.9309150326797,356.03,18.983660130719,72.6429411764706,"Elora, Ontario",1997,43.681148,-80.429581,377.87
15.9335294117647,361.33,18.677908496732,77.9846405228758,"Winchester, Ontario",1997,45.0928774,-75.35299,79.89
16.1419607843137,301.32,18.6105882352941,72.4400653594771,"Exeter, Ontario",1997,43.3449871,-81.4801081,268.39
16.1419607843137,301.32,18.6105882352941,72.4400653594771,"St. Pauls, Ontario",1997,43.3208052,-81.0516163,351.85
17.173137254902,367.9,18.983660130719,70.3292810457516,"Woodstock, Ontario",1997,43.1301111,-80.7562977,303.89
17.143137254902,369.85,18.9191503267974,76.8812418300654,"Dutton, Ontario",1997,42.6640129,-81.5026543,218.84
17.0459477124183,296.55,18.9191503267974,73.012091503268,"Inwood, Ontario",1997,42.8180452,-81.9824943,208.86
17.9654248366013,215.12,18.9191503267974,71.2984967320261,"Ridgetown, Ontario",1997,42.4392352,-81.8870513,211.86
17.0390196078431,345.36,18.9191503267974,71.4494117647059,"Talbotville, Ontario",1997,42.8031625,-81.2531447,234.85
17.8996078431373,337.86,18.4824836601307,76.3782352941176,"Woodslee, Ontario",1997,42.21478,-82.7206993,183.19
17.2042483660131,434.49,18.3558823529412,76.5527450980392,"Malden, Ontario",1997,42.2624517,-83.0635175,178.85
17.8583660130719,434.1,18.5681045751634,76.9174509803922,"Ottawa, Ontario",1998,45.4208777,-75.6901106,71.11
18.8603267973856,239.91,20.2061437908497,66.8753594771242,"Elora, Ontario",1998,43.681148,-80.429581,377.87
18.1469281045752,459.07,18.5681045751634,78.0164705882353,"Winchester, Ontario",1998,45.0928774,-75.35299,79.89
18.9788235294118,243.77,20.0957516339869,67.7396078431373,"Brussels, Ontario",1998,43.7433558,-81.2506263,340.87
18.9788235294118,243.77,20.0957516339869,67.7396078431373,"St. Pauls, Ontario",1998,43.3208052,-81.0516163,351.85
20.0718954248366,250.9,20.2061437908497,64.6934640522876,"Woodstock, Ontario",1998,43.1301111,-80.7562977,303.89
20.7137908496732,259.31,20.4543137254902,68.1586274509804,"Ridgetown, Ontario",1998,42.4392352,-81.8870513,211.86
19.919477124183,255.19,20.4543137254902,68.4849019607843,"Inwood, Ontario",1998,42.8180452,-81.9824943,208.86
19.9534640522876,274.73,20.4543137254902,73.142614379085,"Dutton, Ontario",1998,42.6640129,-81.5026543,218.84
19.9528104575163,242.69,20.4543137254902,65.9335947712418,"Talbotville, Ontario",1998,42.8031625,-81.2531447,234.85
20.6820261437908,350.53,20.2671241830065,73.333660130719,"Woodslee, Ontario",1998,42.21478,-82.7206993,183.19
20.5767973856209,290.54,20.2671241830065,70.0181045751634,"Tilbury, Ontario",1998,42.2593155,-82.4322682,179.85
20.7137908496732,259.31,20.2671241830065,68.1586274509804,"Chatham, Ontario",1998,42.4057219,-82.1853837,180.83
18.2874509803922,436.82,19.0093464052288,75.0883660130719,"Ottawa, Ontario",1999,45.4208777,-75.6901106,71.11
18.462614379085,305.83,19.8307843137255,67.378431372549,"Brussels, Ontario",1999,43.7433558,-81.2506263,340.87
18.4175163398693,306.58,20.1659477124183,66.6270588235294,"Elora, Ontario",1999,43.681148,-80.429581,377.87
18.6791503267974,450.07,19.0093464052288,74.1311764705882,"Winchester, Ontario",1999,45.0928774,-75.35299,79.89
18.462614379085,305.83,19.8307843137255,67.378431372549,"Exeter, Ontario",1999,43.3449871,-81.4801081,268.39
18.462614379085,305.83,19.8307843137255,67.378431372549,"St. Pauls, Ontario",1999,43.3208052,-81.0516163,351.85
19.3091503267974,334.54,20.1659477124183,65.0667973856209,"Woodstock, Ontario",1999,43.1301111,-80.7562977,303.89
19.1900653594771,304.61,20.5845098039216,68.2699346405229,"Inwood, Ontario",1999,42.8180452,-81.9824943,208.86
